PostalCode,Borough,Neighbourhood,Latitude,Longitude
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.648165,-79.37939
M2K,North York,Bayview Village,43.77749,-79.38062
M6S,West Toronto,"Runnymede, Swansea",43.64999,-79.479589
M1G,Scarborough,Woburn,43.769552,-79.217702
M6G,Downtown Toronto,Christie,43.668548,-79.420849
M1X,Scarborough,Upper Rouge,43.829676,-79.220536
M4E,East Toronto,The Beaches,43.678341,-79.29419
M3L,North York,Downsview,43.733234,-79.512209
M2N,North York,Willowdale,43.768139,-79.408556
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.780739,-79.304081
M4Y,Downtown Toronto,Church and Wellesley,43.666554,-79.381667
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.632859,-79.49621
M5P,Central Toronto,Forest Hill North & West,43.696669,-79.411794
M6E,York,Caledonia-Fairbanks,43.68852,-79.449509
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.641304,-79.397055
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.626292,-79.519845
M6B,North York,Glencairn,43.708445,-79.445625
M5G,Downtown Toronto,Central Bay Street,43.656302,-79.385817
M2H,North York,Hillcrest Village,43.801961,-79.356633
M4P,Central Toronto,Davisville North,43.712153,-79.390096
M6R,West Toronto,"Parkdale, Roncesvalles",43.647013,-79.449203
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.817514,-79.281876
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.649702,-79.384035
M6J,West Toronto,"Little Portugal, Trinity",43.647964,-79.417168
M3B,North York,Don Mills,43.745607,-79.358067
M4S,Central Toronto,Davisville,43.703249,-79.386511
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.629693,-79.374481
M6N,York,"Runnymede, The Junction North",43.675423,-79.480426
M5S,Downtown Toronto,"University of Toronto, Harbord",43.663126,-79.399836
M1H,Scarborough,Cedarbrae,43.768759,-79.239853
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.66787,-79.368603
M6C,York,Humewood-Cedarvale,43.691838,-79.430957
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68614,-79.402398
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.729866,-79.263037
M4M,East Toronto,Studio District,43.657167,-79.34044
M4B,East York,"Parkview Hill, Woodbine Gardens",43.707352,-79.307711
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.742691,-79.586119
M9A,Etobicoke,Islington Avenue,43.666162,-79.529264
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.653418,-79.397896
M4J,East York,East Toronto,43.686966,-79.336945
M7R,Mississauga,Canada Post Gateway Processing Centre,43.636383,-79.61562
M4T,Central Toronto,"Moore Park, Summerhill East",43.688987,-79.384704
M3C,North York,Don Mills,43.725418,-79.340739
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.726576,-79.230966
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.685838,-79.560817
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.674085,-79.403263
M9P,Etobicoke,Westmount,43.693956,-79.532647
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.661921,-79.390262
M2R,North York,Willowdale,43.779319,-79.44307
M4C,East York,Woodbine Heights,43.691025,-79.312582
M2P,North York,York Mills West,43.750512,-79.399115
M4A,North York,Victoria Village,43.728793,-79.311219
M4R,Central Toronto,North Toronto West,43.714652,-79.405845
M3J,North York,"Northwood Park, York University",43.765477,-79.491241
M7Y,East Toronto,Business reply mail Processing Centre,43.664037,-79.31572
M9L,North York,Humber Summit,43.759428,-79.559347
M5E,Downtown Toronto,Berczy Park,43.646245,-79.373532
M1S,Scarborough,Agincourt,43.793196,-79.268241
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.801052,-79.320994
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.651774,-79.553262
M6P,West Toronto,"High Park, The Junction South",43.660693,-79.464217
M2J,North York,"Fairview, Henry Farm, Oriole",43.780764,-79.347135
M2L,North York,"York Mills, Silver Hills",43.754965,-79.379161
M5B,Downtown Toronto,"Garden District, Ryerson",43.657708,-79.378338
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.638358,-79.429476
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.750215,-79.445791
M1N,Scarborough,"Birch Cliff, Cliffside West",43.697347,-79.263414
M1R,Scarborough,"Wexford, Maryvale",43.752578,-79.302083
M4H,East York,Thorncliffe Park,43.704365,-79.349604
M6A,North York,"Lawrence Manor, Lawrence Heights",43.723103,-79.44826
M5C,Downtown Toronto,St. James Town,43.651429,-79.375566
M9W,Etobicoke,Northwest,43.714261,-79.587029
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.654143,-79.361363
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.763101,-79.270652
M5W,Downtown Toronto,Stn A PO Boxes,43.645809,-79.377259
M5M,North York,"Bedford Park, Lawrence Manor East",43.732206,-79.418446
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.652888,-79.509917
M3A,North York,Parkwoods,43.755543,-79.3296
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.710944,-79.284466
M8W,Etobicoke,"Alderwood, Long Branch",43.601677,-79.54008
M6H,West Toronto,"Dufferin, Dovercourt Village",43.665506,-79.43754
M4N,Central Toronto,Lawrence Park,43.727204,-79.393394
M4K,East Toronto,"The Danforth West, Riverdale",43.680384,-79.35262
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7881,-79.154872
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.693565,-79.483858
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.768938,-79.190102
M9N,York,Weston,43.707044,-79.516823
M5N,Central Toronto,Roselawn,43.711138,-79.419465
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.647434,-79.38173
M1B,Scarborough,"Malvern, Rouge",43.804649,-79.201061
M3K,North York,Downsview,43.735312,-79.469089
M1J,Scarborough,Scarborough Village,43.746265,-79.233751
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.642275,-79.572971
M2M,North York,"Willowdale, Newtonbrook",43.791726,-79.411071
M3N,North York,Downsview,43.757004,-79.520192
M3M,North York,Downsview,43.729618,-79.494955
M9M,North York,"Humberlea, Emery",43.733481,-79.53695
M4L,East Toronto,"India Bazaar, The Beaches West",43.669822,-79.316684
M4W,Downtown Toronto,Rosedale,43.679441,-79.376675
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.60804,-79.499721
M4G,East York,Leaside,43.718761,-79.376314
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.648778,-79.381714
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.714808,-79.479883
